,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
382,-1.01162790698,17.1914893617,0.0736771570113,0.197395100233,19.6192288438,2.42504564415,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-5.2155339767,0.0381051336841,599.376488594,37.0286920781
383,-1.01162790698,17.3617021277,0.0737818624344,0.196832847109,19.625714824,2.42776674113,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.427508423,0.0342591994827,605.310909273,37.0409335054
384,-1.01162790698,17.5319148936,0.0737885708068,0.196437092623,19.6315461771,2.43162739957,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,4.83616903116,0.0268967176694,611.245329952,37.0519394109
385,-1.01162790698,17.7021276596,0.0739830703823,0.196524839569,19.6361243418,2.43716485974,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,7.73858474681,0.0285161394972,617.179750631,37.0605800895
386,-1.01162790698,17.8723404255,0.0741377091816,0.196681948187,19.6409781528,2.4422840135,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,3.68252279916,0.0309500524419,623.11417131,37.0697410139
387,-1.01162790698,18.0425531915,0.0743045132722,0.196990941224,19.6462462468,2.4464191984,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-0.401889390205,0.0334362255027,629.048591989,37.0796838426
388,-1.01162790698,18.2127659574,0.0741339132449,0.197460036525,19.6519375193,2.44980693863,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-3.51274559858,0.0346060017518,634.983012668,37.0904253644
389,-1.01162790698,18.3829787234,0.0734631274808,0.198123612873,19.6578279025,2.45288356752,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-0.309774423928,0.0308051925514,640.917433348,37.1015426815
390,-1.01162790698,18.5531914894,0.073200027627,0.198760649618,19.6630713396,2.45708181574,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,2.10988667874,0.0295067531631,646.851854027,37.1114389734
391,-1.01162790698,18.7234042553,0.0729274836564,0.199487506367,19.6680937656,2.46167022143,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,3.68480535556,0.0290424106083,652.786274706,37.1209181364
